メッシュ名,メッシュ名略号,調査番号,調査日,階層,高さ,被度（％）,種名,学名,メッシュの主な所在地,環ＲＤＢ,ＮＲＤＢ,茨ＲＤＢ,群ＲＤＢ,埼ＲＤＢ,千ＲＤＢ,群馬県目録,栃木県目録,茨城県目録,埼玉県目録
54396655宇都宮,宇都宮55,15,2002年 7月29日,草本層,0.8,2,エゾノサヤヌカグサ,Leersia oryzoides (Linn.) Swartz,栃木県,,,,,,,○,○,,
54396655宇都宮,宇都宮55,15,2002年 7月29日,草本層,0.6,1,キツネノマゴ,Justicia procumbens Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,16,2002年 7月29日,草本層,1.9,40,ガマ,Typha latifolia Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,16,2002年 7月29日,草本層,0.7,15,ツルマメ,Glycine max (Linn.) Merrill zubsp. soja (Sieb. et Zucc.) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,16,2002年 7月29日,草本層,0.7,40,ヒメアシボソ,Microstegium vimineum (Trin.) A. Camus,栃木県,,,,,,,,○,○,○
54396655宇都宮,宇都宮55,16,2002年 7月29日,草本層,1,1,アシカキ,Leersia japonica Makino,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,16,2002年 7月29日,草本層,0.4,1,アメリカセンダングサ,Bidens frondosa Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,17,2002年 7月29日,草本層,1.6,95,オオブタクサ,Ambrosia trifida Linn.,栃木県,,,,,,,○,○,○,
54396655宇都宮,宇都宮55,17,2002年 7月29日,草本層,1.4,5,カナムグラ,Humulus japonicus Sieb. et Zucc.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,17,2002年 7月29日,草本層,0.4,1,ツユクサ,Commelina communis Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,17,2002年 7月29日,草本層,0.4,1,イヌタデ,Persicaria longiseta (De Bruyn) Kitagawa,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,17,2002年 7月29日,草本層,0.6,0.5,カモジグサ,Agropyron tsukushiense (Honda) Ohwi var. transiens (Hack.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,17,2002年 7月29日,草本層,1.4,2,ヘクソカズラ,Paederia scandens (Lour.) Merrill,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,18,2002年 7月29日,草本層,1.7,40,ガマ,Typha latifolia Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,18,2002年 7月29日,草本層,1.1,30,クサヨシ,Phalaris arundinacea Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,18,2002年 7月29日,草本層,0.7,10,ツルマメ,Glycine max (Linn.) Merrill zubsp. soja (Sieb. et Zucc.) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,18,2002年 7月29日,草本層,0.6,1,アキノウナギツカミ,Persicaria sieboldii (Meisn.) Ohki,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,18,2002年 7月29日,草本層,0.7,15,ヒメアシボソ,Microstegium vimineum (Trin.) A. Camus,栃木県,,,,,,,,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.35,20,クサヨシ,Phalaris arundinacea Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.15,50,メヒシバ,Digitaria ciliaris (Retz.) Koeler,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.15,40,カントウヨメナ,Kalimeris pseudoyomena Kitam.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.15,5,コウヤワラビ,Onoclea sensibilis Linn. var. interrupta Maxim.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.1,5,ヨモギ,Artemisia princeps Pampan.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.05,20,オオチドメ,Hydrocotyle ramiflora Maxim.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A1,2002年 7月29日,草本層,0.4,7,アゼスゲ,Carex thunbergii Steud.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.1,25,メヒシバ,Digitaria ciliaris (Retz.) Koeler,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,30,タチゲヒメヘビイチゴ,Potentilla centigrana Maxim. form. patens Hiyama,栃木県,,,,,,●,○,,,
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,5,ノミノフスマ,Stellaria alsine Grimm var. undulata (Thunb.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,8,ミゾカクシ,Lobelia chinensis Lour.,栃木県,,,,,,,○,○,,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.1,2,コヌカグサ,Agrostis alba Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.1,20,オヘビイチゴ,Potentilla sundaica (Blume) O. Kuntze var. robusta (Franch. et Savat.) Kitagawa,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.15,7,ドジョウツナギ,Glyceria ischyroneura Steud.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,0.2,ツユクサ,Commelina communis Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,20,オオチドメ,Hydrocotyle ramiflora Maxim.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,2,オオジシバリ,Ixeris debilis (Thunb.) A. Gray,栃木県,,,,,,,,,,
54396655宇都宮,宇都宮55,A2,2002年 7月29日,草本層,0.05,3,カントウヨメナ,Kalimeris pseudoyomena Kitam.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.1,3,メヒシバ,Digitaria ciliaris (Retz.) Koeler,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.05,40,シロツメクサ,Trifolium repens Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.07,3,オヘビイチゴ,Potentilla sundaica (Blume) O. Kuntze var. robusta (Franch. et Savat.) Kitagawa,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.05,3,オオバコ,Plantago asiatica Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.15,30,チゴザサ,Isachne globosa (Thunb.) O. Kuntze,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.1,10,シバ,Zoysia japonica Steud.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.05,15,ノチドメ,Hydrocotyle maritima Honda,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.05,2,ミゾカクシ,Lobelia chinensis Lour.,栃木県,,,,,,,○,○,,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.06,2,ノミノフスマ,Stellaria alsine Grimm var. undulata (Thunb.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.03,0.3,オオジシバリ,Ixeris debilis (Thunb.) A. Gray,栃木県,,,,,,,,,,
54396655宇都宮,宇都宮55,A3,2002年 7月29日,草本層,0.03,0.5,ヤマサギゴケ,Mazus miquelii Makino form. rotundifolius (Franch. et Savat.) Yamazaki,栃木県,,,,,,,○,○,,
